grid_latitude,grid_longitude,runoff_value,runoff_coefficient,elevation_m,drainage_density_km_per_km2,total_population,slope
28.550001,77.0875,0.6503974877893733,0.0,224.0,3.088460022746895,207424.0,0.0085575169965234
28.550001,77.1,0.5433854329375,0.2527012465223617,232.0,1.3289534197283874,207424.0,0.0043530488120288
28.550001,77.1125,0.5463636535475207,0.2456683934329356,230.0,0.1244191037477054,207424.0,0.0065818072694751
28.550001,77.125,0.5144285866916667,0.32108074967093,246.0,0.0,77340.0,0.0106519269118102
28.550001,77.1375,0.4244494159285714,0.5335600693546465,256.0,0.0,77340.0,0.007472149239769
28.550001,77.15,0.3995282837833334,0.5924095248348475,262.0,0.0,77340.0,0.0090664346977687
28.550001,77.1625,0.4446294764431547,0.4859063124579054,235.0,0.2144367410647422,50368.0,0.009872925364852
28.550001,77.175,0.5159881102190477,0.3173980473819623,252.0,0.1184283289861883,53521.0,0.0036856602353717
28.550001,77.1875,0.4258571540547619,0.5302357973391452,233.0,0.5994558172460026,12864.0,0.0102388275538529
28.550001,77.2,0.4722946564502976,0.4205769859371919,228.0,0.5837283052154055,12864.0,0.0052781938868606
28.550001,77.2125,0.498858645825,0.3578480416431506,227.0,0.0,61669.0,0.0039528854007919
28.550001,77.225,0.4541562627029762,0.4634094940710296,228.0,0.8934532332875491,61669.0,0.002047281465235
28.550001,77.2375,0.5442515050574404,0.250656079698959,222.0,0.0,39703.0,0.0127601398001553
28.550001,77.25,0.5231311778985108,0.3005302084352894,257.0,0.0,39703.0,0.0293057464081372
28.562501,76.85,0.40000001,0.5912955774096351,213.0,0.0,1645532.0,0.0007187064365076
28.562501,76.8625,0.40000001,0.5912955774096351,213.0,0.0,1645532.0,0.0007187064365076
28.562501,76.875,0.40000001,0.5912955774096351,213.0,0.9015702383843476,1645532.0,0.0007187064365076
28.562501,76.8875,0.40000001,0.5912955774096351,213.0,0.7226266012427226,1645532.0,0.0007187064365076
28.562501,76.9,0.40000001,0.5912955774096351,213.0,0.7219646475006679,1645532.0,0.0007187064365076
28.562501,76.9125,0.40000001,0.5912955774096351,213.0,0.5715691087360253,1645532.0,0.0007187064365076
28.562501,76.925,0.40000001,0.5912955774096351,213.0,0.0,1645532.0,0.0007187064365076
28.562501,76.9375,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0007187064365076
28.562501,76.95,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0007187064365076
28.562501,76.9625,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0007187064365076
28.562501,76.975,0.40000001,0.5912955774096351,213.0,1.074305399796466,570368.0,0.0007187064365076
28.562501,76.9875,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0007187064365076
28.562501,77.0,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0007187064365076
28.562501,77.0125,0.40000001,0.5912955774096351,213.0,0.0,1975595.0,0.0057436406655504
28.562501,77.025,0.5183636187830979,0.3117884553029114,227.0,1.444553654536508,1975595.0,0.0014231756901801
28.562501,77.0375,0.5183636187830979,0.3117884553029114,216.0,1.4801806824141803,419626.0,0.0039555235679603
28.562501,77.05,0.5183636187830979,0.3117884553029114,218.0,0.745463583117987,26828.0,0.0051194137769264
