lon,lat
28.625001,76.9
28.625001,76.9125
28.625001,76.925
28.625001,76.9375
28.625001,76.95
28.625001,76.9625
28.625001,76.975
28.625001,76.9875
28.625001,77.0
28.625001,77.0125
28.625001,77.025
28.625001,77.0375
28.625001,77.05
28.625001,77.0625
28.625001,77.075
28.625001,77.0875
28.625001,77.1
28.625001,77.1125
28.625001,77.125
28.625001,77.1375
28.625001,77.15
28.625001,77.1625
28.625001,77.175
28.625001,77.1875
28.625001,77.2
28.625001,77.2125
28.625001,77.225
28.625001,77.2375
28.625001,77.25
28.637501,76.85
28.637501,76.8625
28.637501,76.875
28.637501,76.8875
28.637501,76.9
28.637501,76.9125
28.637501,76.925
28.637501,76.9375
28.637501,76.95
28.637501,76.9625
28.637501,76.975
28.637501,76.9875
28.637501,77.0
28.637501,77.0125
28.637501,77.025
28.637501,77.0375
28.637501,77.05
28.637501,77.0625
28.637501,77.075
28.637501,77.0875
28.637501,77.1
28.637501,77.1125
28.637501,77.125
28.637501,77.1375
28.637501,77.15
28.637501,77.1625
28.637501,77.175
28.637501,77.1875
28.637501,77.2
28.637501,77.2125
28.637501,77.225
28.637501,77.2375
28.637501,77.25
28.650001,76.85
28.650001,76.8625
28.650001,76.875
28.650001,76.8875
28.650001,76.9
28.650001,76.9125
28.650001,76.925
28.650001,76.9375
28.650001,76.95
28.650001,76.9625
28.650001,76.975
28.650001,76.9875
28.650001,77.0
28.650001,77.0125
28.650001,77.025
28.650001,77.0375
28.650001,77.05
28.650001,77.0625
28.650001,77.075
28.650001,77.0875
28.650001,77.1
28.650001,77.1125
28.650001,77.125
28.650001,77.1375
28.650001,77.15
28.650001,77.1625
28.650001,77.175
28.650001,77.1875
28.650001,77.2
28.650001,77.2125
28.650001,77.225
28.650001,77.2375
28.650001,77.25
28.662501,76.85
28.662501,76.8625
28.662501,76.875
28.662501,76.8875
28.662501,76.9
28.662501,76.9125
28.662501,76.925
28.662501,76.9375
28.662501,76.95
28.662501,76.9625
28.662501,76.975
28.662501,76.9875
28.662501,77.0
28.662501,77.0125
28.662501,77.025
28.662501,77.0375
28.662501,77.05
28.662501,77.0625
28.662501,77.075
28.662501,77.0875
28.662501,77.1
28.662501,77.1125
28.662501,77.125
28.662501,77.1375
28.662501,77.15
28.662501,77.1625
28.662501,77.175
28.662501,77.1875
28.662501,77.2
28.662501,77.2125
28.662501,77.225
28.662501,77.2375
28.662501,77.25
28.675001,76.85
28.675001,76.8625
28.675001,76.875
28.675001,76.8875
28.675001,76.9
28.675001,76.9125
28.675001,76.925
28.675001,76.9375
28.675001,76.95
28.675001,76.9625
28.675001,76.975
28.675001,76.9875
28.675001,77.0
28.675001,77.0125
28.675001,77.025
28.675001,77.0375
28.675001,77.05
28.675001,77.0625
28.675001,77.075
28.675001,77.0875
28.675001,77.1
28.675001,77.1125
28.675001,77.125
28.675001,77.1375
28.675001,77.15
28.675001,77.1625
28.675001,77.175
28.675001,77.1875
28.675001,77.2
28.675001,77.2125
28.675001,77.225
28.675001,77.2375
28.675001,77.25
28.687501,76.85
28.687501,76.8625
28.687501,76.875
28.687501,76.8875
28.687501,76.9
28.687501,76.9125
28.687501,76.925
28.687501,76.9375
28.687501,76.95
28.687501,76.9625
28.687501,76.975
28.687501,76.9875
28.687501,77.0
28.687501,77.0125
28.687501,77.025
28.687501,77.0375
28.687501,77.05
28.687501,77.0625
28.687501,77.075
28.687501,77.0875
28.687501,77.1
28.687501,77.1125
28.687501,77.125
28.687501,77.1375
28.687501,77.15
28.687501,77.1625
28.687501,77.175
28.687501,77.1875
28.687501,77.2
28.687501,77.2125
28.687501,77.225
28.687501,77.2375
28.687501,77.25
28.700001,76.85
28.700001,76.8625
28.700001,76.875
28.700001,76.8875
28.700001,76.9
28.700001,76.9125
28.700001,76.925
28.700001,76.9375
28.700001,76.95
28.700001,76.9625
28.700001,76.975
28.700001,76.9875
28.700001,77.0
28.700001,77.0125
28.700001,77.025
28.700001,77.0375
28.700001,77.05
28.700001,77.0625
28.700001,77.075
28.700001,77.0875
28.700001,77.1
28.700001,77.1125
28.700001,77.125
28.700001,77.1375
28.700001,77.15
28.700001,77.1625
28.700001,77.175
28.700001,77.1875
28.700001,77.2
28.700001,77.2125
28.700001,77.225
28.700001,77.2375
28.700001,77.25
28.712501,76.85
28.712501,76.8625
28.712501,76.875
28.712501,76.8875
28.712501,76.9
28.712501,76.9125
28.712501,76.925
28.712501,76.9375
28.712501,76.95
28.712501,76.9625
28.712501,76.975
28.712501,76.9875
28.712501,77.0
28.712501,77.0125
28.712501,77.025
28.712501,77.0375
28.712501,77.05
28.712501,77.0625
28.712501,77.075
28.712501,77.0875
28.712501,77.1
28.712501,77.1125
28.712501,77.125
28.712501,77.1375
28.712501,77.15
28.712501,77.1625
28.712501,77.175
28.712501,77.1875
28.712501,77.2
28.712501,77.2125
28.712501,77.225
28.712501,77.2375
28.712501,77.25
28.725001,76.85
28.725001,76.8625
28.725001,76.875
28.725001,76.8875
28.725001,76.9
28.725001,76.9125
28.725001,76.925
28.725001,76.9375
28.725001,76.95
28.725001,76.9625
28.725001,76.975
28.725001,76.9875
28.725001,77.0
28.725001,77.0125
28.725001,77.025
28.725001,77.0375
28.725001,77.05
28.725001,77.0625
28.725001,77.075
28.725001,77.0875
28.725001,77.1
28.725001,77.1125
28.725001,77.125
28.725001,77.1375
28.725001,77.15
28.725001,77.1625
28.725001,77.175
28.725001,77.1875
28.725001,77.2
28.725001,77.2125
28.725001,77.225
28.725001,77.2375
28.725001,77.25
28.7375,76.85
28.7375,76.8625
28.7375,76.875
28.7375,76.8875
28.7375,76.9
28.7375,76.9125
28.7375,76.925
28.7375,76.9375
28.7375,76.95
28.7375,76.9625
28.7375,76.975
28.7375,76.9875
28.7375,77.0
28.7375,77.0125
28.7375,77.025
28.7375,77.0375
28.7375,77.05
28.7375,77.0625
28.7375,77.075
28.7375,77.0875
28.7375,77.1
28.7375,77.1125
28.7375,77.125
28.7375,77.1375
28.7375,77.15
28.7375,77.1625
28.7375,77.175
28.7375,77.1875
28.7375,77.2
28.7375,77.2125
28.7375,77.225
28.7375,77.2375
28.7375,77.25
28.75,76.85
28.75,76.8625
28.75,76.875
28.75,76.8875
28.75,76.9
28.75,76.9125
28.75,76.925
28.75,76.9375
28.75,76.95
28.75,76.9625
28.75,76.975
28.75,76.9875
28.75,77.0
28.75,77.0125
28.75,77.025
28.75,77.0375
28.75,77.05
28.75,77.0625
28.75,77.075
28.75,77.0875
28.75,77.1
28.75,77.1125
28.75,77.125
28.75,77.1375
28.75,77.15
28.75,77.1625
28.75,77.175
28.75,77.1875
28.75,77.2
28.75,77.2125
28.75,77.225
28.75,77.2375
28.75,77.25
28.7625,76.85
28.7625,76.8625
28.7625,76.875
28.7625,76.8875
28.7625,76.9
28.7625,76.9125
28.7625,76.925
28.7625,76.9375
28.7625,76.95
28.7625,76.9625
28.7625,76.975
28.7625,76.9875
28.7625,77.0
28.7625,77.0125
28.7625,77.025
28.7625,77.0375
28.7625,77.05
28.7625,77.0625
28.7625,77.075
28.7625,77.0875
28.7625,77.1
28.7625,77.1125
28.7625,77.125
28.7625,77.1375
28.7625,77.15
28.7625,77.1625
28.7625,77.175
28.7625,77.1875
28.7625,77.2
28.7625,77.2125
28.7625,77.225
28.7625,77.2375
28.7625,77.25
28.775,76.85
28.775,76.8625
28.775,76.875
28.775,76.8875
28.775,76.9
28.775,76.9125
28.775,76.925
28.775,76.9375
28.775,76.95
28.775,76.9625
28.775,76.975
28.775,76.9875
28.775,77.0
28.775,77.0125
28.775,77.025
28.775,77.0375
28.775,77.05
28.775,77.0625
28.775,77.075
28.775,77.0875
28.775,77.1
28.775,77.1125
28.775,77.125
28.775,77.1375
28.775,77.15
28.775,77.1625
28.775,77.175
28.775,77.1875
28.775,77.2
28.775,77.2125
28.775,77.225
28.775,77.2375
28.775,77.25
28.7875,76.85
28.7875,76.8625
28.7875,76.875
28.7875,76.8875
28.7875,76.9
28.7875,76.9125
28.7875,76.925
28.7875,76.9375
28.7875,76.95
28.7875,76.9625
28.7875,76.975
28.7875,76.9875
28.7875,77.0
28.7875,77.0125
28.7875,77.025
28.7875,77.0375
28.7875,77.05
28.7875,77.0625
28.7875,77.075
28.7875,77.0875
28.7875,77.1
28.7875,77.1125
28.7875,77.125
28.7875,77.1375
28.7875,77.15
